Location,Property_Address,Property_Type,Property_Size,Tenure,Rent,Price
Grays,Unit 12 Coward Industrial Estate,Industrial,"10,362 sq ft - To Let",To Let,Rent on Application,Price on Application
Grays,Unit 11 Coward Industrial Estate,Industrial,"10,362 sq ft - To Let",To Let,Rent on Application,Price on Application
Grays,Unit 5 Coward Industrial Estate,Industrial,"7,284 sq ft - To Let",To Let,Rent on Application,Price on Application
Grays,"Unit 4 Coward Industrial Estate, St Johns Road",Industrial,"6,301 sq ft - To Let",To Let,Rent on Application,Price on Application
Grays,"Unit 3 Coward Industrial Estate, St Johns Road",Industrial,"3,509 sq ft - To Let",To Let,Rent on Application,Price on Application
Grays,"Unit 2 Coward Industrial Estate, St Johns Road",Industrial,"3,530 sq ft - To Let",To Let,Rent on Application,Price on Application
Grays,"Unit 1 Coward Industrial Estate, St Johns Road",Industrial,"5,629 sq ft - To Let",To Let,Rent on Application,Price on Application
Erith,"Unit 1, Manford Industrial Estate, Manor Road",Industrial,"2,742 sq ft - To Let",To Let,Rent on Application,Price on Application
Swanley,"Swanley Distribution Link, London Road",Industrial,"26,500 to 168,313 sq ft - To Let",To Let,Rent on Application,Price on Application
Barking,"Thames Road Sites, Thames Road",Land,1 Acres - To Let,To Let,Rent on Application,Price on Application
Erith,"Unit 1 Kencot Close Business Park, Kencot Way",Industrial,"1,590 sq ft - To Let",To Let,Rent on Application,Price on Application
Erith,"Unit 8, Northend Trading Estate, Northend Road",Industrial,"1,444 sq ft - To Let",To Let,Rent on Application,Price on Application
Erith,"Unit 3 Northend Trading Estate, Northend Road",Industrial,"1,206 sq ft - To Let",To Let,Rent on Application,Price on Application
Erith,"Unit 2, Northend Trading Estate, Northend Road",Industrial,"1,210 sq ft - To Let",To Let,Rent on Application,Price on Application
Grays,"Valor Park Thurrock, 726 London Road",Industrial,"121,179 sq ft - To Let",To Let,Rent on Application,Price on Application
Dagenham,"Unit 11, Thames Gateway Park, Chequers Lane",Industrial,"22,823 sq ft - To Let",To Let,Rent on Application,Price on Application
Barking,"Unit 7B Valor Park - East Circular, Gascoigne Road",Industrial,"10,732 sq ft - To Let",To Let,Rent on Application,Price on Application
Barking,"Unit 7A Valor Park - East Circular, Gascoigne Road",Industrial,"10,678 sq ft - To Let",To Let,Rent on Application,Price on Application
Barking,"Unit 1A Valor Park - East Circular, Gascoigne Road",Industrial,"19,471 sq ft - To Let",To Let,Rent on Application,Price on Application
Barking,"Unit 6 Valor Park - East Circular, Gascoigne Road",Industrial,"45,046 sq ft - To Let",To Let,Rent on Application,Price on Application
Barking,"Unit 1B Valor Park - East Circular, Gascoigne Road",Industrial,"22,464 sq ft - To Let",To Let,Rent on Application,Price on Application
Barking,"Unit 1C Valor Park - East Circular, Gascoigne Road",Industrial,"22,335 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Flagship House, Victory Way",Offices,"8,705 sq ft - To Let",To Let,Rent on Application,Price on Application
Aylesford,"Unit 15 Quarry Wood Industrial Estate, Mills Road",Industrial,"41,985 sq ft - To Let",To Let,Rent on Application,Price on Application
Aylesford,"Unit E5, Larkfield Trading Estate, New Hythe Lane",Industrial,"5,316 sq ft - To Let",To Let,Rent on Application,Price on Application
Ashford,"Connect Thirty Eight, 1 Dover Place",Offices,"12,078 sq ft - To Let",To Let,Rent on Application,Price on Application
Orpington,"Unit 2 & 3, Ravensquay Business Centre",Industrial,"9,962 sq ft - For Sale",For Sale,Rent on Application,Price on Application
"Dunton Green, Sevenoaks",Unit 15 North Downs Business Park,Industrial,"8,780 sq ft - To Let",To Let,Rent on Application,Price on Application
Crayford,Unit 4 Kennet Road,Industrial,"8,391 sq ft - For Sale",For Sale,Rent on Application,Price on Application
Grays,"Unit 10, Thurrock Business Centre, Breach Road",Industrial,926 sq ft - To Let,To Let,Rent on Application,Price on Application
Dartford,"Unit 10 Optima Trade Park, Thames Road",Industrial,"7,753 sq ft - To Let",To Let,Rent on Application,Price on Application
Aylesford,"Former Landscape Services Depot, Beddow Way",Land / Open Storage,0.79 Acres - To Let,To Let,Rent on Application,Price on Application
Grays,"Unit 11, Thurrock Business Centre, Breach Road",Industrial,936 sq ft - To Let,To Let,Rent on Application,Price on Application
Paddock Wood,Units 14-20 Eldon Way Industrial Estate,Industrial,"15,234 to 30,492 sq ft - To Let",To Let,Rent on Application,Price on Application
Swanley,"Unit 4 Gateway Trading Estate, London Road",Industrial,"8,625 sq ft - To Let",To Let,Rent on Application,Price on Application
Barking,"Unit B, Circular 13, Gascoigne Road",Industrial,"98,544 sq ft - To Let",To Let,Rent on Application,Price on Application
Barking,"Various Units Valor Park - East Circular, Gascoigne Road",Industrial,"10,497 to 47,611 sq ft - To Let",To Let,Rent on Application,Price on Application
Tonbridge,"Unit 16, Botany Trading Estate",Industrial,"6,671 sq ft - To Let",To Let,Rent on Application,Price on Application
Tonbridge,"Unit 3B, Botany Trading Estate",Industrial,"3,608 sq ft - To Let",To Let,Rent on Application,Price on Application
Aylesford,"Various Units At Click Aylesford, Coldharbour Lane",Industrial,"13,691 to 103,883 sq ft - To Let",To Let,Rent on Application,Price on Application
Barking,"Unit C2 & C3 Eastern Approach, 25 Alfreds Way",Industrial,"16,920 to 16,971 sq ft - To Let",To Let,Rent on Application,Price on Application
Barking,"Unit C2 Eastern Approach, 25 Alfreds Way",Industrial,"16,920 sq ft - To Let",To Let,Rent on Application,Price on Application
Aylesford,"Unit 6 Click Aylesford, Coldharbour Lane",Industrial,"15,823 sq ft - To Let",To Let,Rent on Application,Price on Application
Aylesford,"Unit 5 Click Aylesford, Coldharbour Lane",Industrial,"13,691 sq ft - To Let",To Let,Rent on Application,Price on Application
Aylesford,"Unit 3 Click Aylesford, Coldharbour Lane",Industrial,"64,444 sq ft - To Let",To Let,Rent on Application,Price on Application
Erith,"Various Units At Blueprint Erith, Church Manorway",Industrial,"19,554 to 24,230 sq ft - To Let",To Let,Rent on Application,Price on Application
Erith,"Unit 2 Blueprint Erith, Church Manorway",Industrial,"19,554 sq ft - To Let",To Let,Rent on Application,Price on Application
Erith,"Unit 3 Blueprint Erith, Church Manorway",Industrial,"19,572 sq ft - To Let",To Let,Rent on Application,Price on Application
Erith,"Unit 1 Blueprint Erith, Church Manorway",Industrial,"24,230 sq ft - To Let",To Let,Rent on Application,Price on Application
Maidstone,"Unit C, Orchard Business Centre",Industrial,"2,795 sq ft - To Let",To Let,Rent on Application,Price on Application
Swanley,"Unit 11, Park Road Industrial Estate, Park Road",Industrial,"3,161 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,Unit 75 Powder Mill Lane,Industrial,"2,868 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit 12, Newtons Court",Industrial,"67,344 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Unit B2, Logicor Park",Industrial,"2,913 sq ft - To Let",To Let,Rent on Application,Price on Application
Sidcup,Unit 1 Sidcup Logistics Park East,Industrial,"7,441 sq ft - To Let",To Let,Rent on Application,Price on Application
Sidcup,Unit 11 Sidcup Logistics Park East,Industrial,"5,645 sq ft - To Let",To Let,Rent on Application,Price on Application
Sidcup,Unit 9 Sidcup Logistics Park East,Industrial,"5,044 sq ft - To Let",To Let,Rent on Application,Price on Application
Sidcup,Unit 8 Sidcup Logistics Park East,Industrial,"5,463 sq ft - To Let",To Let,Rent on Application,Price on Application
Sidcup,Unit 7 Sidcup Logistics Park East,Industrial,"6,076 sq ft - To Let",To Let,Rent on Application,Price on Application
Sidcup,"Various Units, Sidcup Logistics Park East",Industrial,"5,038 to 34,705 sq ft - To Let",To Let,Rent on Application,Price on Application
Aylesford,"Unit 1 Click Aylesford, Coldharbour Lane",Industrial,"47,221 sq ft - To Let",To Let,Rent on Application,Price on Application
Aylesford,"Unit 2 Click Aylesford, Coldharbour Lane",Industrial,"103,883 sq ft - To Let",To Let,Rent on Application,Price on Application
Aylesford,"Unit 4 Click Aylesford, Coldharbour Lane",Industrial,"51,397 sq ft - To Let",To Let,Rent on Application,Price on Application
Tonbridge,Unit L4 Deacon Trading Estate,Industrial,"7,045 sq ft - To Let",To Let,Rent on Application,Price on Application
Sidcup,Unit 11 Klinger Industrial Park,Industrial,"4,019 sq ft - To Let",To Let,Rent on Application,Price on Application
Swanley,"The Yard, Button Street",Open Storage,"14,941 sq ft - To Let",To Let,Rent on Application,Price on Application
Ramsgate,"Manston House Manston Business Park, Columbus Avenue",Industrial,"175,467 sq ft - To Let",To Let,Rent on Application,Price on Application
Orpington,Unit 5 Halo Business Park,Industrial,"7,008 sq ft - To Let",To Let,Rent on Application,Price on Application
Orpington,Unit 9 Halo Business Park,Industrial,"7,739 sq ft - To Let",To Let,Rent on Application,Price on Application
Orpington,Unit 10 Halo Business Park,Industrial,"8,245 sq ft - To Let",To Let,Rent on Application,Price on Application
Grays,"Unit 1b Coward Industrial Estate, St Johns Road",Industrial,"3,541 sq ft - To Let",To Let,Rent on Application,Price on Application
Rainham,"Unit C3, Thames View Business Centre, Fairview Industrial Park, Barlow Way",Industrial,"4,953 sq ft - To Let",To Let,Rent on Application,Price on Application
Paddock Wood,"Unit J/L, Paddock Wood Distribution Centre, Transfesa Road",Industrial,"17,053 sq ft - To Let",To Let,Rent on Application,Price on Application
Grays,"Units 1, 2 & 3 Globe Industrial Estate",Industrial,"23,332 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Hawley Mill, Hawley Road",Offices,"2,500 to 8,729 sq ft - To Let",To Let,Rent on Application,Price on Application
West Thurrock,"Plot 7, Thurrock Trade Park, Riverside Industrial Estate",Land / Open Storage,0.50 Acres - To Let,To Let,Rent on Application,Price on Application
Aylesford,"Unit 4, Aylesford Business Park, St Michaels Close",Industrial,"7,171 sq ft - To Let",To Let,Rent on Application,Price on Application
Woodford Green,Unit 2 Woodford Trading Estate,Industrial,"4,750 sq ft - To Let",To Let,Rent on Application,Price on Application
Woodford Green,Unit 2 & 3 Woodford Trading Estate,Industrial,"9,466 sq ft - To Let",To Let,Rent on Application,Price on Application
Woodford Green,Unit 3 Woodford Trading Estate,Industrial,"4,716 sq ft - To Let",To Let,Rent on Application,Price on Application
Aylesford,"Unit 7, Aylesford Business Park, St Michaels Close",Industrial,"5,518 sq ft - To Let",To Let,Rent on Application,Price on Application
West Malling,Unit 10 Kings Hill Avenue,Offices,"4,596 to 25,449 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,"Gnd Floor Lakeview West, Galleon Boulevard",Offices,"9,437 sq ft - To Let",To Let,Rent on Application,Price on Application
West Malling,35 Kings Hill Avenue,Offices,"10,994 sq ft - To Let",To Let,Rent on Application,Price on Application
Tilbury,Yard At Berth 29-30 Tilbury Freeport,Land,"37,000 sq ft - To Let",To Let,Rent on Application,Price on Application
Belvedere,Unit E2 Belvedere Point,Industrial,"1,647 sq ft - To Let",To Let,Rent on Application,Price on Application
Banstead,"First Floor Pathtrace House, 91-93 High Street",Offices,"2,275 to 3,169 sq ft - To Let",To Let,Rent on Application,Price on Application
Epsom,"Units 2 & 13 First Quarter, Blenheim Road",Industrial,"1,511 to 3,285 sq ft - To Let",To Let,Rent on Application,Price on Application
Croydon,"Units At The Courtyard, 131 Aurelia Road",Industrial,"1,628 to 5,458 sq ft - To Let",To Let,Rent on Application,Price on Application
Dartford,Unit 12A Saunders Way,Industrial,"1,323 sq ft - To Let",To Let,Rent on Application,Price on Application
Croydon,"Unit 8 Progress Business Park, Progress Way",Industrial,"1,173 sq ft - To Let",To Let,Rent on Application,Price on Application
Croydon,"Unit 5 Progress Business Park, Progress Way",Industrial,"2,147 sq ft - To Let",To Let,Rent on Application,Price on Application
Egham,Barons Court,Offices,"1,579 sq ft - To Let",To Let,Rent on Application,Price on Application
Maidstone,"Powerhub Business Centre, St. Peters Street",Industrial,"517 to 58,041 sq ft - To Let",To Let,Rent on Application,Price on Application
Maidstone,"Fourth Floor, Powerhub Business Centre, St. Peters Street",Industrial,"517 to 21,421 sq ft - To Let",To Let,Rent on Application,Price on Application
Maidstone,"Second Floor, Powerhub Business Centre, St. Peters Street",Industrial,"764 to 15,834 sq ft - To Let",To Let,Rent on Application,Price on Application
Maidstone,"First Floor, Powerhub Business Centre, St. Peters Street",Industrial,"592 to 20,786 sq ft - To Let",To Let,Rent on Application,Price on Application
South Godstone,"Unit W6 Lambs Business Park, Terracotta Road",Industrial,"1,621 sq ft - To Let",To Let,Rent on Application,Price on Application
Redhill,"Clarendon House, Clarendon Road",Offices,"1,585 to 10,102 sq ft - To Let",To Let,Rent on Application,Price on Application
Barking,"Unit B1, Eastern Approach, 25 Alfreds Way",Industrial,"25,215 sq ft - To Let",To Let,Rent on Application,Price on Application
Barking,"Unit B2, Eastern Approach, 25 Alfreds Way",Industrial,"25,353 sq ft - To Let",To Let,Rent on Application,Price on Application
Barking,"Units B1 & B2, Eastern Approach, 25 Alfreds Way",Industrial,"23,192 to 50,568 sq ft - To Let",To Let,Rent on Application,Price on Application
Sidcup,Unit 1 Five Arches Business Estate,Industrial,"22,537 sq ft - To Let",To Let,Rent on Application,Price on Application
Redhill,"Forum House, 41-51 Brighton Road",Offices,"1,611 to 7,772 sq ft - To Let",To Let,Rent on Application,Price on Application
Reigate,"Suite B, Priory House, 45-51 High Street",Offices,"1,160 sq ft - To Let",To Let,Rent on Application,Price on Application
Crawley,"Global House, High Street",Offices,"6,300 sq ft - To Let",To Let,Rent on Application,Price on Application
Crawley,"Palladian, Manor Royal",Offices,"7,647 sq ft - To Let",To Let,Rent on Application,Price on Application
